task,dim,arm,eval_T,mean_acc,std,n_seeds
modular_counter,256,emender_cma,128,0.8303,0.0651,3
modular_counter,256,emender_cma,256,0.6331,0.0959,3
modular_counter,256,emender_cma,512,0.4327,0.0570,3
modular_counter,256,gdn2,128,0.8563,0.0866,3
modular_counter,256,gdn2,256,0.6857,0.1343,3
modular_counter,256,gdn2,512,0.4566,0.0731,3
modular_counter,256,gdn2typed,128,0.8746,0.0451,3
modular_counter,256,gdn2typed,256,0.6958,0.0924,3
modular_counter,256,gdn2typed,512,0.4576,0.0585,3
modular_counter,384,emender_cma,128,0.7865,0.1215,3
modular_counter,384,emender_cma,256,0.5861,0.1505,3
modular_counter,384,emender_cma,512,0.4030,0.0882,3
modular_counter,384,gdn2,128,0.9381,0.0358,3
modular_counter,384,gdn2,256,0.8133,0.0722,3
modular_counter,384,gdn2,512,0.5295,0.0370,3
modular_counter,384,gdn2typed,128,0.9510,0.0406,3
modular_counter,384,gdn2typed,256,0.7841,0.1390,3
modular_counter,384,gdn2typed,512,0.5292,0.0925,3
modular_counter,512,emender_cma,128,0.8687,0.0758,3
modular_counter,512,emender_cma,256,0.6777,0.1393,3
modular_counter,512,emender_cma,512,0.4585,0.0886,3
modular_counter,512,gdn2,128,0.9834,0.0066,3
modular_counter,512,gdn2,256,0.8604,0.0551,3
modular_counter,512,gdn2,512,0.5574,0.0466,3
modular_counter,512,gdn2typed,128,0.9894,0.0060,3
modular_counter,512,gdn2typed,256,0.9289,0.0082,3
modular_counter,512,gdn2typed,512,0.6657,0.0799,3
modular_counter,768,emender_cma,128,0.9420,0.0391,3
modular_counter,768,emender_cma,256,0.7823,0.1067,3
modular_counter,768,emender_cma,512,0.5143,0.0784,3
modular_counter,768,gdn2,128,0.9921,0.0039,3
modular_counter,768,gdn2,256,0.8701,0.0188,3
modular_counter,768,gdn2,512,0.5591,0.0222,3
modular_counter,768,gdn2typed,128,0.9953,0.0004,3
modular_counter,768,gdn2typed,256,0.9030,0.0339,3
modular_counter,768,gdn2typed,512,0.6016,0.0400,3
modular_counter,1024,emender_cma,128,0.9256,0.0155,3
modular_counter,1024,emender_cma,256,0.7104,0.0382,3
modular_counter,1024,emender_cma,512,0.4627,0.0224,3
modular_counter,1024,gdn2,128,0.9735,0.0084,3
modular_counter,1024,gdn2,256,0.7870,0.0213,3
modular_counter,1024,gdn2,512,0.5098,0.0149,3
modular_counter,1024,gdn2typed,128,0.9894,0.0073,3
modular_counter,1024,gdn2typed,256,0.8277,0.0708,3
modular_counter,1024,gdn2typed,512,0.5252,0.0584,3
modular_quadratic,256,emender_cma,128,1.0000,0.0000,3
modular_quadratic,256,emender_cma,256,0.9998,0.0003,3
modular_quadratic,256,emender_cma,512,0.9902,0.0139,3
modular_quadratic,256,gdn2,128,0.7062,0.2096,3
modular_quadratic,256,gdn2,256,0.6880,0.2210,3
modular_quadratic,256,gdn2,512,0.6748,0.2264,3
modular_quadratic,256,gdn2typed,128,1.0000,0.0000,3
modular_quadratic,256,gdn2typed,256,1.0000,0.0000,3
modular_quadratic,256,gdn2typed,512,0.9960,0.0039,3
modular_quadratic,384,emender_cma,128,1.0000,0.0000,3
modular_quadratic,384,emender_cma,256,1.0000,0.0000,3
modular_quadratic,384,emender_cma,512,1.0000,0.0001,3
modular_quadratic,384,gdn2,128,1.0000,0.0000,3
modular_quadratic,384,gdn2,256,0.9999,0.0001,3
modular_quadratic,384,gdn2,512,0.9949,0.0034,3
modular_quadratic,384,gdn2typed,128,1.0000,0.0000,3
modular_quadratic,384,gdn2typed,256,1.0000,0.0000,3
modular_quadratic,384,gdn2typed,512,0.9954,0.0009,3
modular_quadratic,512,emender_cma,128,1.0000,0.0000,3
modular_quadratic,512,emender_cma,256,1.0000,0.0000,3
modular_quadratic,512,emender_cma,512,0.9998,0.0003,3
modular_quadratic,512,gdn2,128,1.0000,0.0000,3
modular_quadratic,512,gdn2,256,1.0000,0.0000,3
modular_quadratic,512,gdn2,512,0.9962,0.0003,3
modular_quadratic,512,gdn2typed,128,1.0000,0.0000,3
modular_quadratic,512,gdn2typed,256,1.0000,0.0000,3
modular_quadratic,512,gdn2typed,512,0.9948,0.0012,3
modular_quadratic,768,emender_cma,128,1.0000,0.0000,3
modular_quadratic,768,emender_cma,256,1.0000,0.0000,3
modular_quadratic,768,emender_cma,512,1.0000,0.0000,3
modular_quadratic,768,gdn2,128,0.9999,0.0002,3
modular_quadratic,768,gdn2,256,0.9989,0.0013,3
modular_quadratic,768,gdn2,512,0.9951,0.0037,3
modular_quadratic,768,gdn2typed,128,1.0000,0.0000,3
modular_quadratic,768,gdn2typed,256,0.9996,0.0005,3
modular_quadratic,768,gdn2typed,512,0.9826,0.0206,3
modular_quadratic,1024,emender_cma,128,1.0000,0.0000,3
modular_quadratic,1024,emender_cma,256,1.0000,0.0000,3
modular_quadratic,1024,emender_cma,512,1.0000,0.0000,3
modular_quadratic,1024,gdn2,128,1.0000,0.0000,3
modular_quadratic,1024,gdn2,256,0.9999,0.0001,3
modular_quadratic,1024,gdn2,512,0.9985,0.0016,3
modular_quadratic,1024,gdn2typed,128,0.9211,0.1116,3
modular_quadratic,1024,gdn2typed,256,0.9049,0.1344,3
modular_quadratic,1024,gdn2typed,512,0.8889,0.1480,3
s5_permutation,256,emender_cma,128,1.0000,0.0000,3
s5_permutation,256,emender_cma,256,0.8786,0.1717,3
s5_permutation,256,emender_cma,512,0.7739,0.3195,3
s5_permutation,256,gdn2,128,1.0000,0.0000,3
s5_permutation,256,gdn2,256,1.0000,0.0000,3
s5_permutation,256,gdn2,512,0.9986,0.0006,3
s5_permutation,256,gdn2typed,128,1.0000,0.0000,3
s5_permutation,256,gdn2typed,256,1.0000,0.0000,3
s5_permutation,256,gdn2typed,512,0.9979,0.0012,3
s5_permutation,384,emender_cma,128,1.0000,0.0000,3
s5_permutation,384,emender_cma,256,0.7745,0.1621,3
s5_permutation,384,emender_cma,512,0.5647,0.3051,3
s5_permutation,384,gdn2,128,1.0000,0.0000,3
s5_permutation,384,gdn2,256,0.9995,0.0007,3
s5_permutation,384,gdn2,512,0.9353,0.0893,3
s5_permutation,384,gdn2typed,128,1.0000,0.0000,3
s5_permutation,384,gdn2typed,256,1.0000,0.0000,3
s5_permutation,384,gdn2typed,512,0.9947,0.0039,3
s5_permutation,512,emender_cma,128,1.0000,0.0000,3
s5_permutation,512,emender_cma,256,0.6130,0.0178,3
s5_permutation,512,emender_cma,512,0.3146,0.0091,3
s5_permutation,512,gdn2,128,1.0000,0.0000,3
s5_permutation,512,gdn2,256,1.0000,0.0000,3
s5_permutation,512,gdn2,512,0.9981,0.0016,3
s5_permutation,512,gdn2typed,128,1.0000,0.0000,3
s5_permutation,512,gdn2typed,256,1.0000,0.0000,3
s5_permutation,512,gdn2typed,512,0.9958,0.0034,3
s5_permutation,768,emender_cma,128,1.0000,0.0000,3
s5_permutation,768,emender_cma,256,0.7385,0.1849,3
s5_permutation,768,emender_cma,512,0.5410,0.3232,3
s5_permutation,768,gdn2,128,1.0000,0.0000,3
s5_permutation,768,gdn2,256,1.0000,0.0000,3
s5_permutation,768,gdn2,512,0.9994,0.0003,3
s5_permutation,768,gdn2typed,128,1.0000,0.0000,3
s5_permutation,768,gdn2typed,256,1.0000,0.0000,3
s5_permutation,768,gdn2typed,512,0.9887,0.0114,3
s5_permutation,1024,emender_cma,128,1.0000,0.0000,3
s5_permutation,1024,emender_cma,256,0.6082,0.0051,3
s5_permutation,1024,emender_cma,512,0.3122,0.0034,3
s5_permutation,1024,gdn2,128,1.0000,0.0000,3
s5_permutation,1024,gdn2,256,0.9990,0.0013,3
s5_permutation,1024,gdn2,512,0.8931,0.1381,3
s5_permutation,1024,gdn2typed,128,1.0000,0.0000,3
s5_permutation,1024,gdn2typed,256,0.9999,0.0000,3
s5_permutation,1024,gdn2typed,512,0.9896,0.0026,3
