task,dim,arm,seed,final_acc,params,steps,acc_T128,acc_T256,acc_T512
modular_counter,256,emender_cma,42,0.8096771240234375,7185912,5999,0.803741455078125,0.6013641357421875,0.41387176513671875
modular_counter,256,emender_cma,123,0.9203033447265625,7185912,5999,0.919891357421875,0.7631378173828125,0.5099945068359375
modular_counter,256,emender_cma,456,0.7646026611328125,7185912,5999,0.76727294921875,0.5348052978515625,0.37413787841796875
modular_counter,256,gdn2,42,0.949737548828125,2904592,5999,0.94097900390625,0.82720947265625,0.539093017578125
modular_counter,256,gdn2,123,0.8910064697265625,2904592,5999,0.890472412109375,0.7246856689453125,0.46942901611328125
modular_counter,256,gdn2,456,0.7625732421875,2904592,5999,0.737396240234375,0.5051422119140625,0.36141204833984375
modular_counter,256,gdn2typed,42,0.8409576416015625,6934912,5999,0.835479736328125,0.66326904296875,0.425384521484375
modular_counter,256,gdn2typed,123,0.944183349609375,6934912,5999,0.937835693359375,0.821746826171875,0.5396728515625
modular_counter,256,gdn2typed,456,0.8546295166015625,6934912,5999,0.8505859375,0.602508544921875,0.40760040283203125
modular_counter,384,emender_cma,42,0.738739013671875,16131824,5999,0.738555908203125,0.515533447265625,0.36077117919921875
modular_counter,384,emender_cma,123,0.6761474609375,16131824,5999,0.667572021484375,0.447479248046875,0.322479248046875
modular_counter,384,emender_cma,456,0.93511962890625,16131824,5999,0.953460693359375,0.7951812744140625,0.5257568359375
modular_counter,384,gdn2,42,0.9702911376953125,6522392,5999,0.964599609375,0.860809326171875,0.5478515625
modular_counter,384,gdn2,123,0.9664154052734375,6522392,5999,0.962188720703125,0.8677215576171875,0.5628280639648438
modular_counter,384,gdn2,456,0.8842926025390625,6522392,5999,0.887420654296875,0.7113189697265625,0.47786712646484375
modular_counter,384,gdn2typed,42,0.969818115234375,15563264,5999,0.96063232421875,0.847869873046875,0.5502243041992188
modular_counter,384,gdn2typed,123,0.9049072265625,15563264,5999,0.897247314453125,0.591217041015625,0.40699005126953125
modular_counter,384,gdn2typed,456,0.9873199462890625,15563264,5999,0.99517822265625,0.9132843017578125,0.6305160522460938
modular_counter,512,emender_cma,42,0.9598236083984375,28648304,5999,0.950225830078125,0.8450469970703125,0.5701065063476562
modular_counter,512,emender_cma,123,0.7672576904296875,28648304,5999,0.767669677734375,0.50408935546875,0.35326385498046875
modular_counter,512,emender_cma,456,0.8805084228515625,28648304,5999,0.888336181640625,0.6840362548828125,0.4521942138671875
modular_counter,512,gdn2,42,0.9824676513671875,11584032,5999,0.98004150390625,0.8710174560546875,0.5555801391601562
modular_counter,512,gdn2,123,0.97052001953125,11584032,5999,0.9775390625,0.788238525390625,0.5012741088867188
modular_counter,512,gdn2,456,0.985809326171875,11584032,5999,0.99261474609375,0.921905517578125,0.615264892578125
modular_counter,512,gdn2typed,42,0.9840545654296875,27632256,5999,0.9815673828125,0.9254913330078125,0.6279449462890625
modular_counter,512,gdn2typed,123,0.9947052001953125,27632256,5999,0.996063232421875,0.9210205078125,0.5923004150390625
modular_counter,512,gdn2typed,456,0.9927215576171875,27632256,5999,0.990509033203125,0.9403228759765625,0.7767257690429688
modular_counter,768,emender_cma,42,0.95147705078125,64387304,5999,0.942169189453125,0.78631591796875,0.4980926513671875
modular_counter,768,emender_cma,123,0.8975830078125,64387304,5999,0.894012451171875,0.6496429443359375,0.427459716796875
modular_counter,768,emender_cma,456,0.9889373779296875,64387304,5999,0.98974609375,0.9110107421875,0.617431640625
modular_counter,768,gdn2,42,0.988983154296875,26038832,5999,0.986907958984375,0.889434814453125,0.5783309936523438
modular_counter,768,gdn2,123,0.991973876953125,26038832,5999,0.993011474609375,0.84466552734375,0.5279998779296875
modular_counter,768,gdn2,456,0.991180419921875,26038832,5999,0.996368408203125,0.8760986328125,0.5711135864257812
modular_counter,768,gdn2typed,42,0.9955596923828125,62092160,5999,0.9947509765625,0.9473419189453125,0.6317214965820312
modular_counter,768,gdn2typed,123,0.9899139404296875,62092160,5999,0.995574951171875,0.865081787109375,0.5451812744140625
modular_counter,768,gdn2typed,456,0.9881439208984375,62092160,5999,0.99560546875,0.89666748046875,0.6280441284179688
modular_counter,1024,emender_cma,42,0.915618896484375,114402912,5999,0.90545654296875,0.678802490234375,0.441314697265625
modular_counter,1024,emender_cma,123,0.9425201416015625,114402912,5999,0.943267822265625,0.7642059326171875,0.49369049072265625
modular_counter,1024,emender_cma,456,0.92535400390625,114402912,5999,0.9281005859375,0.6882476806640625,0.45318603515625
modular_counter,1024,gdn2,42,0.9688720703125,46268992,5999,0.96221923828125,0.7569732666015625,0.48921966552734375
modular_counter,1024,gdn2,123,0.9757537841796875,46268992,5999,0.982147216796875,0.8031005859375,0.5240402221679688
modular_counter,1024,gdn2,456,0.963165283203125,46268992,5999,0.976226806640625,0.80096435546875,0.5160675048828125
modular_counter,1024,gdn2typed,42,0.98431396484375,110314624,5999,0.98211669921875,0.7989654541015625,0.49530792236328125
modular_counter,1024,gdn2typed,123,0.987152099609375,110314624,5999,0.986602783203125,0.7589569091796875,0.473358154296875
modular_counter,1024,gdn2typed,456,0.998626708984375,110314624,5999,0.99945068359375,0.9251861572265625,0.6068496704101562
modular_quadratic,256,emender_cma,42,1.0,7200504,5999,1.0,1.0,1.0
modular_quadratic,256,emender_cma,123,1.0,7200504,5999,1.0,0.9994049072265625,0.9706192016601562
modular_quadratic,256,emender_cma,456,1.0,7200504,5999,1.0,1.0,1.0
modular_quadratic,256,gdn2,42,0.604339599609375,2919184,5999,0.5938720703125,0.5487213134765625,0.5231246948242188
modular_quadratic,256,gdn2,123,1.0,2919184,5999,1.0,0.9999847412109375,0.9948883056640625
modular_quadratic,256,gdn2,456,0.5256500244140625,2919184,5999,0.5247802734375,0.5153045654296875,0.5064239501953125
modular_quadratic,256,gdn2typed,42,1.0,6949504,5999,1.0,0.999969482421875,0.9981002807617188
modular_quadratic,256,gdn2typed,123,1.0,6949504,5999,1.0,1.0,0.9906234741210938
modular_quadratic,256,gdn2typed,456,1.0,6949504,5999,1.0,1.0,0.999359130859375
modular_quadratic,384,emender_cma,42,1.0,16153712,5999,1.0,1.0,0.9998626708984375
modular_quadratic,384,emender_cma,123,1.0,16153712,5999,1.0,1.0,1.0
modular_quadratic,384,emender_cma,456,1.0,16153712,5999,1.0,1.0,1.0
modular_quadratic,384,gdn2,42,1.0,6544280,5999,1.0,0.9999237060546875,0.9968032836914062
modular_quadratic,384,gdn2,123,1.0,6544280,5999,1.0,0.9996490478515625,0.990081787109375
modular_quadratic,384,gdn2,456,1.0,6544280,5999,1.0,0.9999847412109375,0.9976959228515625
modular_quadratic,384,gdn2typed,42,1.0,15585152,5999,1.0,0.9999237060546875,0.9959335327148438
modular_quadratic,384,gdn2typed,123,1.0,15585152,5999,1.0,0.99993896484375,0.994049072265625
modular_quadratic,384,gdn2typed,456,1.0,15585152,5999,1.0,1.0,0.99609375
modular_quadratic,512,emender_cma,42,1.0,28677488,5999,1.0,1.0,0.99993896484375
modular_quadratic,512,emender_cma,123,1.0,28677488,5999,1.0,1.0,0.999359130859375
modular_quadratic,512,emender_cma,456,1.0,28677488,5999,1.0,1.0,1.0
modular_quadratic,512,gdn2,42,1.0,11613216,5999,1.0,0.9999847412109375,0.995758056640625
modular_quadratic,512,gdn2,123,1.0,11613216,5999,1.0,1.0,0.9962692260742188
modular_quadratic,512,gdn2,456,1.0,11613216,5999,1.0,1.0,0.9965362548828125
modular_quadratic,512,gdn2typed,42,1.0,27661440,5999,1.0,0.99993896484375,0.9938507080078125
modular_quadratic,512,gdn2typed,123,1.0,27661440,5999,1.0,1.0,0.9964065551757812
modular_quadratic,512,gdn2typed,456,1.0,27661440,5999,1.0,0.99993896484375,0.994049072265625
modular_quadratic,768,emender_cma,42,1.0,64431080,5999,1.0,1.0,1.0
modular_quadratic,768,emender_cma,123,1.0,64431080,5999,1.0,1.0,1.0
modular_quadratic,768,emender_cma,456,1.0,64431080,5999,1.0,1.0,1.0
modular_quadratic,768,gdn2,42,1.0,26082608,5999,1.0,0.9999847412109375,0.998748779296875
modular_quadratic,768,gdn2,123,1.0,26082608,5999,1.0,0.999725341796875,0.9964370727539062
modular_quadratic,768,gdn2,456,0.99957275390625,26082608,5999,0.9996337890625,0.9971160888671875,0.9899673461914062
modular_quadratic,768,gdn2typed,42,1.0,62135936,5999,1.0,0.9998779296875,0.9534988403320312
modular_quadratic,768,gdn2typed,123,1.0,62135936,5999,1.0,0.9999847412109375,0.9989852905273438
modular_quadratic,768,gdn2typed,456,1.0,62135936,5999,1.0,0.9987945556640625,0.9951858520507812
modular_quadratic,1024,emender_cma,42,1.0,114461280,5999,1.0,1.0,1.0
modular_quadratic,1024,emender_cma,123,1.0,114461280,5999,1.0,1.0,1.0
modular_quadratic,1024,emender_cma,456,1.0,114461280,5999,1.0,1.0,1.0
modular_quadratic,1024,gdn2,42,1.0,46327360,5999,1.0,1.0,0.9996795654296875
modular_quadratic,1024,gdn2,123,1.0,46327360,5999,1.0,0.9999847412109375,0.9962005615234375
modular_quadratic,1024,gdn2,456,1.0,46327360,5999,1.0,0.9998321533203125,0.99957275390625
modular_quadratic,1024,gdn2typed,42,0.76629638671875,110372992,5999,0.7633056640625,0.7148590087890625,0.67974853515625
modular_quadratic,1024,gdn2typed,123,0.9999542236328125,110372992,5999,1.0,0.9998931884765625,0.987884521484375
modular_quadratic,1024,gdn2typed,456,1.0,110372992,5999,1.0,1.0,0.9991302490234375
s5_permutation,256,emender_cma,42,1.0,7214840,5999,1.0,1.0,0.9998855590820312
s5_permutation,256,emender_cma,123,1.0,7214840,5999,1.0,1.0,0.9997940063476562
s5_permutation,256,emender_cma,456,1.0,7214840,5999,1.0,0.63580322265625,0.3221588134765625
s5_permutation,256,gdn2,42,1.0,2933520,5999,1.0,0.9999847412109375,0.9984664916992188
s5_permutation,256,gdn2,123,1.0,2933520,5999,1.0,1.0,0.9994049072265625
s5_permutation,256,gdn2,456,1.0,2933520,5999,1.0,1.0,0.9980392456054688
s5_permutation,256,gdn2typed,42,1.0,6963840,5999,1.0,0.999969482421875,0.996307373046875
s5_permutation,256,gdn2typed,123,1.0,6963840,5999,1.0,0.9999847412109375,0.9983901977539062
s5_permutation,256,gdn2typed,456,1.0,6963840,5999,1.0,0.999969482421875,0.9990234375
s5_permutation,384,emender_cma,42,1.0,16175216,5999,1.0,0.6972503662109375,0.381988525390625
s5_permutation,384,emender_cma,123,1.0,16175216,5999,1.0,0.626220703125,0.317535400390625
s5_permutation,384,emender_cma,456,1.0,16175216,5999,1.0,1.0,0.9946365356445312
s5_permutation,384,gdn2,42,1.0,6565784,5999,1.0,0.9985198974609375,0.808929443359375
s5_permutation,384,gdn2,123,1.0,6565784,5999,1.0,1.0,0.99853515625
s5_permutation,384,gdn2,456,1.0,6565784,5999,1.0,0.9999847412109375,0.9983749389648438
s5_permutation,384,gdn2typed,42,1.0,15606656,5999,1.0,1.0,0.9939346313476562
s5_permutation,384,gdn2typed,123,1.0,15606656,5999,1.0,0.9999847412109375,0.9904708862304688
s5_permutation,384,gdn2typed,456,1.0,15606656,5999,1.0,1.0,0.9998092651367188
s5_permutation,512,emender_cma,42,1.0,28706160,5999,1.0,0.6376800537109375,0.327117919921875
s5_permutation,512,emender_cma,123,1.0,28706160,5999,1.0,0.604949951171875,0.31111907958984375
s5_permutation,512,emender_cma,456,1.0,28706160,5999,1.0,0.5962677001953125,0.305633544921875
s5_permutation,512,gdn2,42,1.0,11641888,5999,1.0,0.9999542236328125,0.995849609375
s5_permutation,512,gdn2,123,1.0,11641888,5999,1.0,1.0,0.9996719360351562
s5_permutation,512,gdn2,456,1.0,11641888,5999,1.0,0.999908447265625,0.9987640380859375
s5_permutation,512,gdn2typed,42,1.0,27690112,5999,1.0,1.0,0.991485595703125
s5_permutation,512,gdn2typed,123,1.0,27690112,5999,1.0,0.9999847412109375,0.9998779296875
s5_permutation,512,gdn2typed,456,1.0,27690112,5999,1.0,0.999908447265625,0.9960784912109375
s5_permutation,768,emender_cma,42,1.0,64474088,5999,1.0,1.0,0.998138427734375
s5_permutation,768,emender_cma,123,1.0,64474088,5999,1.0,0.6102294921875,0.31334686279296875
s5_permutation,768,emender_cma,456,0.9999847412109375,64474088,5999,1.0,0.605224609375,0.31156158447265625
s5_permutation,768,gdn2,42,1.0,26125616,5999,1.0,1.0,0.9996719360351562
s5_permutation,768,gdn2,123,1.0,26125616,5999,1.0,1.0,0.9989776611328125
s5_permutation,768,gdn2,456,1.0,26125616,5999,1.0,0.9999847412109375,0.99945068359375
s5_permutation,768,gdn2typed,42,1.0,62178944,5999,1.0,0.99993896484375,0.9728851318359375
s5_permutation,768,gdn2typed,123,1.0,62178944,5999,1.0,0.9999542236328125,0.998992919921875
s5_permutation,768,gdn2typed,456,1.0,62178944,5999,1.0,1.0,0.9942398071289062
s5_permutation,1024,emender_cma,42,1.0,114518624,5999,1.0,0.6009674072265625,0.3076019287109375
s5_permutation,1024,emender_cma,123,1.0,114518624,5999,1.0,0.6114959716796875,0.31340789794921875
s5_permutation,1024,emender_cma,456,1.0,114518624,5999,1.0,0.612091064453125,0.31555938720703125
s5_permutation,1024,gdn2,42,1.0,46384704,5999,1.0,0.9972381591796875,0.6979141235351562
s5_permutation,1024,gdn2,123,1.0,46384704,5999,1.0,1.0,0.9973297119140625
s5_permutation,1024,gdn2,456,1.0,46384704,5999,1.0,0.9998321533203125,0.984100341796875
s5_permutation,1024,gdn2typed,42,1.0,110430336,5999,1.0,0.9998931884765625,0.9905319213867188
s5_permutation,1024,gdn2typed,123,1.0,110430336,5999,1.0,1.0,0.9922561645507812
s5_permutation,1024,gdn2typed,456,1.0,110430336,5999,1.0,0.9999237060546875,0.985992431640625
