model,panel,level,step,tokens,params,sf_y_swap,score_mode,category,n,correct,accuracy
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,__overall__,300,88,0.293333
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_challenge,50,13,0.260000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,arc_easy,50,20,0.400000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,boolq,50,23,0.460000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,hellaswag,50,10,0.200000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,openbookqa,50,9,0.180000
emender,knowledge,E97,21500,176128000,1286589072,1,full-sequence,sciq,50,13,0.260000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,__overall__,2048,646,0.315430
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_boolean_expressions,145,86,0.593103
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_causal_judgement,146,71,0.486301
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_date_understanding,145,29,0.200000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,40,0.281690
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_formal_fallacies,151,62,0.410596
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,34,0.226667
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,16,0.107383
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,45,0.308219
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,29,0.193333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,17,0.125000
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,50,0.333333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,bbh_web_of_lies,143,77,0.538462
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,folio,150,62,0.413333
emender,reasoning,E97,21500,176128000,1286589072,1,full-sequence,reclor,145,28,0.193103
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,__overall__,300,81,0.270000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_challenge,50,10,0.200000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,boolq,50,13,0.260000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,openbookqa,50,9,0.180000
emender,knowledge,E97,43000,352256000,1286589072,1,full-sequence,sciq,50,15,0.300000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,__overall__,2048,685,0.334473
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_boolean_expressions,145,74,0.510345
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_causal_judgement,146,76,0.520548
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_date_understanding,145,28,0.193103
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,54,0.380282
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_formal_fallacies,151,89,0.589404
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,30,0.200000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,21,0.140940
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,52,0.356164
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,29,0.193333
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,19,0.139706
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,50,0.333333
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,bbh_web_of_lies,143,76,0.531469
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,43000,352256000,1286589072,1,full-sequence,reclor,145,33,0.227586
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,__overall__,300,105,0.350000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_challenge,50,14,0.280000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,boolq,50,31,0.620000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,openbookqa,50,10,0.200000
emender,knowledge,E97,64500,528384000,1286589072,1,full-sequence,sciq,50,16,0.320000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,__overall__,2048,637,0.311035
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_boolean_expressions,145,54,0.372414
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_causal_judgement,146,77,0.527397
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_date_understanding,145,31,0.213793
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,48,0.338028
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_formal_fallacies,151,69,0.456954
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,34,0.226667
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,21,0.140940
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,50,0.342466
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,30,0.200000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,20,0.147059
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,48,0.320000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,bbh_web_of_lies,143,72,0.503497
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,64500,528384000,1286589072,1,full-sequence,reclor,145,29,0.200000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,__overall__,300,99,0.330000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_challenge,50,15,0.300000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,boolq,50,26,0.520000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,openbookqa,50,7,0.140000
emender,knowledge,E97,86000,704512000,1286589072,1,full-sequence,sciq,50,17,0.340000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,__overall__,2048,653,0.318848
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_boolean_expressions,145,77,0.531034
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_causal_judgement,146,72,0.493151
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_date_understanding,145,19,0.131034
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,55,0.387324
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_formal_fallacies,151,81,0.536424
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,30,0.200000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,18,0.120805
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,49,0.335616
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,34,0.226667
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,21,0.154412
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,43,0.286667
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,bbh_web_of_lies,143,70,0.489510
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,86000,704512000,1286589072,1,full-sequence,reclor,145,30,0.206897
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,__overall__,300,94,0.313333
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,arc_challenge,50,11,0.220000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,arc_easy,50,21,0.420000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,boolq,50,20,0.400000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,hellaswag,50,13,0.260000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,openbookqa,50,8,0.160000
emender,knowledge,E97,107500,880640000,1286589072,1,full-sequence,sciq,50,21,0.420000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,__overall__,2048,624,0.304688
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_boolean_expressions,145,64,0.441379
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_causal_judgement,146,67,0.458904
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_date_understanding,145,23,0.158621
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_disambiguation_qa,142,40,0.281690
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_formal_fallacies,151,89,0.589404
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_five_objects,150,28,0.186667
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_seven_objects,149,26,0.174497
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_logical_deduction_three_objects,146,45,0.308219
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,25,0.166667
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,14,0.102941
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,42,0.280000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,bbh_web_of_lies,143,74,0.517483
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,folio,150,54,0.360000
emender,reasoning,E97,107500,880640000,1286589072,1,full-sequence,reclor,145,33,0.227586
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,__overall__,300,90,0.300000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,arc_challenge,50,7,0.140000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,arc_easy,50,20,0.400000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,boolq,50,27,0.540000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,hellaswag,50,11,0.220000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,openbookqa,50,8,0.160000
gdn2,knowledge,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,sciq,50,17,0.340000
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,__overall__,2048,646,0.315430
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_boolean_expressions,145,86,0.593103
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_causal_judgement,146,74,0.506849
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_date_understanding,145,18,0.124138
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_disambiguation_qa,142,56,0.394366
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_formal_fallacies,151,62,0.410596
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_logical_deduction_five_objects,150,35,0.233333
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_logical_deduction_seven_objects,149,22,0.147651
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_logical_deduction_three_objects,146,47,0.321918
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_five_objects,150,23,0.153333
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_seven_objects,136,19,0.139706
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_tracking_shuffled_objects_three_objects,150,44,0.293333
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,bbh_web_of_lies,143,79,0.552448
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,folio,150,54,0.360000
gdn2,reasoning,gdn2-mlp,25000,204800000,1286713448,1,full-sequence,reclor,145,27,0.186207
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,__overall__,300,101,0.336667
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,arc_challenge,50,8,0.160000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,arc_easy,50,21,0.420000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,boolq,50,28,0.560000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,hellaswag,50,12,0.240000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,openbookqa,50,10,0.200000
gdn2,knowledge,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,sciq,50,22,0.440000
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,__overall__,2048,655,0.319824
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_boolean_expressions,145,85,0.586207
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_causal_judgement,146,75,0.513699
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_date_understanding,145,33,0.227586
gdn2,reasoning,gdn2-mlp,50000,409600000,1286713448,1,full-sequence,bbh_disambiguation_qa,142,50,0.352113
